Block,RandomForest,SVM,XGBoost
Real_Block1,0.8346592804449067,0.6994502425507465,0.8352162895675299
Real_Block2,0.8338062375906382,0.5516067926330515,0.835076968345976
Real_Block3,0.8336147818982717,0.5795985973027291,0.8343807925506255
Real_Block4,0.8331477020104682,0.6385282921324343,0.8342617960149432
CTGAN_Block1,0.839637807249128,0.7358165329667797,0.8398467996877507
CTGAN_Block2,0.8397771436225275,0.7701828191402964,0.8421098520937426
CTGAN_Block3,0.8408912103536805,0.7199729266820368,0.8412915736343338
CTGAN_Block4,0.8395536932927021,0.6803588047981652,0.8415555945463054
VAE_Block1,0.8073113837635246,0.6039504164939357,0.8114022154422763
VAE_Block2,0.8088954516583392,0.5646992449532232,0.8118722741829518
VAE_Block3,0.8122901075417402,0.6278209918519435,0.8152841365023724
VAE_Block4,0.8096997328426561,0.5708135571442771,0.8135467076857434
